season,team_name,ops,woba,batting_war,wrc_plus,batting_clutch,era,whip,fip,k_per_9,pitching_war,prediction
2024,ATL,0.852,0.375,4.7,132,0.51,4.64,1.34,4.08,8.32,1.1,1.0
2024,MIL,0.834,0.368,4.8,128,0.84,3.99,1.23,4.25,8.39,0.9,1.0
2024,HOU,0.777,0.346,4.1,128,-2.46,5.35,1.53,4.36,7.52,0.9,0.0
2024,LAD,0.769,0.34,3.6,113,-0.34,4.37,1.22,4.19,9.0,1.4,0.0
2024,SDP,0.761,0.338,4.0,114,1.17,4.17,1.33,4.41,8.24,1.0,0.0
2024,TEX,0.749,0.335,3.8,117,-0.39,3.99,1.25,4.38,8.28,1.2,0.0
2024,CIN,0.757,0.334,2.2,102,0.15,4.22,1.26,4.13,9.13,1.8,0.0
2024,NYY,0.738,0.333,3.7,120,0.43,2.81,1.22,4.0,7.97,1.9,1.0
2024,BAL,0.746,0.327,3.2,116,1.03,3.82,1.17,3.74,9.12,2.1,0.0
2024,CLE,0.734,0.325,3.0,114,0.88,3.0,1.26,3.52,9.06,2.1,0.0
2024,PIT,0.718,0.324,1.6,99,0.92,3.65,1.16,3.56,8.34,2.4,0.0
2024,NYM,0.713,0.324,1.6,105,-0.55,3.48,1.31,3.56,9.68,1.9,0.0
2024,KCR,0.729,0.323,3.0,106,-0.27,2.86,1.23,3.49,7.57,2.7,0.0
2024,CHC,0.726,0.323,1.8,100,0.72,4.04,1.29,3.77,9.71,1.7,0.0
2024,LAA,0.718,0.322,2.3,108,0.19,4.76,1.26,4.55,8.68,0.9,0.0
2024,ARI,0.718,0.321,1.9,98,-0.53,3.68,1.26,3.6,8.47,2.0,0.0
2024,COL,0.715,0.318,0.4,82,-0.57,5.93,1.7,4.98,6.86,0.3,0.0
2024,WSN,0.702,0.314,1.4,94,0.61,4.53,1.45,3.52,9.06,2.4,0.0
2024,SFG,0.698,0.313,2.2,97,-0.74,4.87,1.29,4.36,7.71,0.7,0.0
2024,TOR,0.678,0.309,2.3,102,0.26,4.68,1.39,4.97,9.0,0.3,0.0
2024,TBR,0.686,0.308,2.6,105,0.51,5.17,1.47,4.9,8.74,0.1,0.0
2024,BOS,0.675,0.301,0.3,89,-1.33,2.74,1.14,3.46,9.74,2.7,0.0
2024,STL,0.668,0.298,0.9,86,1.26,3.87,1.28,4.14,8.64,1.5,0.0
2024,PHI,0.652,0.295,0.5,81,-0.03,3.74,1.21,3.55,9.7,2.8,0.0
2024,SEA,0.618,0.282,0.4,86,0.26,4.28,1.18,4.06,9.04,1.5,0.0
2024,MIN,0.62,0.281,1.1,82,-0.26,3.72,1.23,4.07,10.29,1.5,0.0
2024,DET,0.612,0.278,0.6,78,0.16,3.13,1.1,4.21,8.5,1.3,0.0
2024,OAK,0.607,0.274,-0.3,81,0.4,3.8,1.36,3.67,7.71,2.3,0.0
2024,MIA,0.595,0.269,-1.5,65,-0.25,5.18,1.56,4.69,8.59,0.3,0.0
2024,CHW,0.568,0.26,-1.1,65,-1.12,4.78,1.44,5.02,8.4,0.4,0.0
